,title,author,VR,VFA,RPA,RCA,OA
0,train01,Salamon,0.9422835633626098,0.0880281690140845,0.9178168130489335,0.9178168130489335,0.9141455437448897
1,train02,Salamon,0.8720335039553281,0.3451730418943534,0.7338296882270824,0.7356910190786412,0.6963350785340314
2,train03,Salamon,0.8419768151311775,0.31439046746104493,0.7223917022574741,0.7474069554606467,0.6783882783882784
3,train04,Salamon,0.7779775280898876,0.16459074733096085,0.7631460674157303,0.8053932584269663,0.7396237682890415
4,train05,Salamon,0.9543080939947781,0.2857142857142857,0.9286335944299391,0.9286335944299391,0.852915828784832
5,train06,Salamon,0.7780612244897959,0.5626535626535627,0.6360544217687075,0.6513605442176871,0.4981226533166458
6,train07,Salamon,0.831100757134537,0.1742690058479532,0.7880023296447292,0.8048922539312755,0.7678849144634525
7,train08,Salamon,0.9206200093940817,0.02574257425742574,0.8755284170972287,0.8755284170972287,0.9012424338961452
8,train09,Salamon,0.9096114519427403,0.09308510638297872,0.8736196319018404,0.8871165644171779,0.866750078198311
9,train01,Bittner,0.9404015056461732,0.318075117370892,0.8619824341279799,0.8644918444165621,0.7771872444807849
10,train02,Bittner,0.6812470916705444,0.17395264116575593,0.6821777570963239,0.7138203815728246,0.6541422851863259
11,train03,Bittner,0.6558877364246491,0.1228230980751604,0.6406345332519829,0.7467968273337401,0.6853479853479854
12,train04,Bittner,0.8274157303370786,0.3620996441281139,0.7959550561797752,0.8080898876404494,0.6960286652732159
13,train05,Bittner,0.9134029590948651,0.45900253592561285,0.8999129677980853,0.8999129677980853,0.7566791151967825
14,train06,Bittner,0.6862244897959183,0.24815724815724816,0.7440476190476191,0.7534013605442177,0.6942010846891948
15,train07,Bittner,0.6435643564356436,0.06783625730994151,0.7909143855562026,0.81537565521258,0.718895800933126
16,train08,Bittner,0.8839830906528887,0.20594059405940593,0.909816815406294,0.9149835603569751,0.8314749920356802
17,train09,Bittner,0.8887525562372188,0.24867021276595744,0.885480572597137,0.8903885480572598,0.8126368470441039
18,train01,Hsieh,0.966750313676286,0.284037558685446,0.8180677540777918,0.8293601003764115,0.7825020441537204
19,train02,Hsieh,0.949278734295021,0.6484517304189436,0.5863192182410424,0.6254071661237784,0.5069294733600246
20,train03,Hsieh,0.8718730933496034,0.25939505041246563,0.701647345942648,0.7217815741305674,0.7172161172161172
21,train04,Hsieh,0.915505617977528,0.2606761565836299,0.7159550561797753,0.7280898876404495,0.7237981487011048
22,train05,Hsieh,0.9878154917319408,0.42265426880811496,0.8633594429939078,0.8694516971279374,0.7661591496696352
23,train06,Hsieh,0.9710884353741497,0.8517608517608518,0.6113945578231292,0.6241496598639455,0.37546933667083854
24,train07,Hsieh,0.9271986022131625,0.15087719298245614,0.7728596389050669,0.7821782178217822,0.7982115085536547
25,train08,Hsieh,0.9628933771723814,0.3693069306930693,0.8562705495537811,0.8576796618130578,0.7836890729531698
26,train09,Hsieh,0.9840490797546012,0.5465425531914894,0.8319018404907975,0.8384458077709611,0.7428839537066
27,train01,Lu,0.9360100376411543,0.028169014084507043,0.8864491844416562,0.9096612296110415,0.9161896974652494
28,train02,Lu,0.8068869241507678,0.14754098360655737,0.7156817124243834,0.7235923685435086,0.7619340930089313
29,train03,Lu,0.8645515558267236,0.013748854262144821,0.7956070774862721,0.7998779743746187,0.8717948717948718
30,train04,Lu,0.8692134831460674,0.09074733096085409,0.8026966292134832,0.8206741573033708,0.8384592415646461
31,train05,Lu,0.9421235857267188,0.04311073541842773,0.9120974760661444,0.9316797214969539,0.9273197357081299
32,train06,Lu,0.8664965986394558,0.13185913185913187,0.7551020408163265,0.7627551020408163,0.8126825198164372
33,train07,Lu,0.8532323820617356,0.06666666666666667,0.7740244612696564,0.796156086196855,0.8269828926905132
34,train08,Lu,0.9248473461719117,0.048514851485148516,0.868952559887271,0.8849224988257398,0.895508123606244
35,train09,Lu,0.7995910020449898,0.13696808510638298,0.7701431492842535,0.7967280163599182,0.791992492962152
36,train01,MultiDNN,0.882685069008783,0.06338028169014084,0.8557089084065245,0.8582183186951067,0.883892068683565
37,train02,MultiDNN,0.7124243834341554,0.14025500910746813,0.6058631921824105,0.6370404839460214,0.6917154296273483
38,train03,MultiDNN,0.6601586333129957,0.025664527956003668,0.6058572300183038,0.6327028676021964,0.7531135531135531
39,train04,MultiDNN,0.818876404494382,0.10320284697508897,0.7397752808988765,0.762247191011236,0.7924753657808301
40,train05,MultiDNN,0.8220191470844213,0.049873203719357564,0.8054830287206266,0.8150565709312445,0.8546394714162597
41,train06,MultiDNN,0.5425170068027211,0.03849303849303849,0.5051020408163265,0.5136054421768708,0.7375886524822695
42,train07,MultiDNN,0.6255096097845079,0.042105263157894736,0.5794991263832265,0.5958066394874781,0.7052877138413686
43,train08,MultiDNN,0.8426491310474401,0.0297029702970297,0.8243306716768436,0.8257397839361202,0.8712965912711055
44,train09,MultiDNN,0.8989775051124744,0.18085106382978725,0.8122699386503067,0.8339468302658487,0.8138880200187676
45,train01,MultiDNN_RNN,0.9015056461731493,0.05046948356807512,0.8638644918444166,0.8644918444165621,0.8937040065412919
46,train02,MultiDNN_RNN,0.7626803164262448,0.15391621129326047,0.6505351326198232,0.6738017682643089,0.716661533723437
47,train03,MultiDNN_RNN,0.6809029896278218,0.02474793767186068,0.636973764490543,0.6516168395363027,0.7721611721611722
48,train04,MultiDNN_RNN,0.8301123595505618,0.06672597864768683,0.7613483146067416,0.7694382022471911,0.8190504628247238
49,train05,MultiDNN_RNN,0.8746736292428199,0.08537616229923922,0.8359442993907746,0.8459530026109661,0.8626831370295892
