,title,author,VR,VFA,RPA,RCA,OA
0,ちょうちょ,Salamon,0.795160031225605,0.3755149118470918,0.5628415300546448,0.5628415300546448,0.5780824114157448
1,むすんでひらいて,Salamon,0.8674513817809621,0.3553108245181858,0.623336745138178,0.6262367792562266,0.6201520018804356
2,赤い靴,Salamon,0.7352239021919988,0.18800946621088616,0.5782391666063806,0.6267814512045142,0.5931578350164529
3,七つの子,Salamon,0.8657407407407407,0.22373806275579808,0.6581384015594542,0.6720272904483431,0.6952244962716166
4,桃太郎,Salamon,0.7622803376228033,0.22252155172413793,0.4350352843503528,0.45758959457589593,0.564126611957796
5,ジングルベル,Salamon,0.7012967875036841,0.18869808306709265,0.3893309755378721,0.5282935455349248,0.551382058673902
6,メリーさんの羊,Salamon,0.7089508002371073,0.3881762409369771,0.45465323058684054,0.5346769413159455,0.5269353388375705
7,線路は続くよどこまでも,Salamon,0.6278781038374718,0.174508126603935,0.27460496613995483,0.5161399548532731,0.4034931673000728
8,峠の我が家,Salamon,0.7757934828607702,0.17438452520515826,0.4400338552687262,0.6567922132881929,0.5165823865502068
9,アルプス一万尺,Salamon,0.6988776868936656,0.1662269129287599,0.24101198402130491,0.4211527487159977,0.6083745558419843
10,十人のインディアン,Salamon,0.7226140103432064,0.5066086145234022,0.5952045133991537,0.6014731233349004,0.524742428972838
11,聖者の行進,Salamon,0.6539748953974895,0.4515748031496063,0.17949790794979079,0.33249651324965135,0.32293877551020406
12,きよしこの夜,Salamon,0.7730389467910038,0.43287037037037035,0.564454196379594,0.662095447065277,0.5561488115742336
13,わらの中の七面鳥,Salamon,0.6700385356454721,0.3399966683325004,0.42469492614001286,0.5427103403982017,0.5208077835009403
14,マイ ボニー,Salamon,0.8463656387665198,0.23334338257461562,0.2756057268722467,0.49380506607929514,0.41914752858898024
15,ちょうちょ,Bittner,0.8249804839968774,0.5007414730598122,0.5589383294301327,0.5673692427790789,0.5097803431136765
16,むすんでひらいて,Bittner,0.821050835892187,0.5496304883350239,0.5980893892869328,0.6170249061753668,0.4957298440805453
17,赤い靴,Bittner,0.7971496780727773,0.754667367867473,0.6142660782753382,0.6766982565289734,0.4919437195052763
18,七つの子,Bittner,0.8375974658869396,0.3117326057298772,0.6341374269005848,0.660696881091618,0.6216880850388704
19,桃太郎,Bittner,0.6805036668050367,0.5184985632183908,0.43185277431852775,0.45620589456205896,0.41789761625635014
20,ジングルベル,Bittner,0.6162687886825818,0.4582667731629393,0.4535809018567639,0.5587975243147657,0.4465830083093098
21,メリーさんの羊,Bittner,0.7893696897846275,0.6182375906302287,0.6803003359019957,0.6978857933214779,0.4871249897817379
22,線路は続くよどこまでも,Bittner,0.6548532731376975,0.31679498146564017,0.4628668171557562,0.550902934537246,0.47853157596830276
23,峠の我が家,Bittner,0.7210325856961489,0.5246189917936694,0.4557765552264071,0.6365636902242912,0.42411505877717215
24,アルプス一万尺,Bittner,0.5335742819098345,0.5378188214599824,0.41164162069621457,0.5320525014266692,0.4103671706263499
25,十人のインディアン,Bittner,0.77103902209685,0.5577670657751516,0.6003761165961448,0.6220028208744711,0.49601935685295034
26,聖者の行進,Bittner,0.5361227336122734,0.4389763779527559,0.22343096234309623,0.3610878661087866,0.32824489795918366
27,きよしこの夜,Bittner,0.7656335710367526,0.5782407407407407,0.6013439385628085,0.6526330224904004,0.490785394419566
28,わらの中の七面鳥,Bittner,0.6753371868978806,0.5362318840579711,0.5110789980732178,0.5667951188182402,0.4558090098928951
29,マイ ボニー,Bittner,0.6032488986784141,0.5884835694905035,0.29955947136563876,0.44768722466960353,0.2858898024761365
30,ちょうちょ,Hsieh,0.9439500390320062,0.7329049266765529,0.5256830601092897,0.5309914129586261,0.3998717332050665
31,むすんでひらいて,Hsieh,0.8870692596383487,0.3579191421533111,0.6322074377345616,0.6482429205049471,0.6375460314972968
32,赤い靴,Hsieh,0.8669608623308978,0.6032079936891928,0.5226795919843739,0.5664472256384288,0.49551798479518894
33,七つの子,Hsieh,0.9376218323586745,0.6184629376989541,0.5415448343079922,0.565911306042885,0.485721085197525
34,桃太郎,Hsieh,0.8156911581569116,0.3297413793103448,0.47045800470458005,0.4919053549190536,0.5574052364204768
35,ジングルベル,Hsieh,0.7792513999410551,0.3540335463258786,0.42838196286472147,0.5197465369879163,0.5207732745463796
36,メリーさんの羊,Hsieh,0.919976289270895,0.5759899609592861,0.6459197786998617,0.6644931831653823,0.5158178696967219
37,線路は続くよどこまでも,Hsieh,0.8214446952595936,0.32848588537211293,0.43261851015801356,0.5079006772009029,0.5003638715937576
38,峠の我が家,Hsieh,0.8596699111299196,0.4536928487690504,0.41752010156580616,0.6086330935251798,0.4463781440861627
39,アルプス一万尺,Hsieh,0.8346965950161689,0.28452066842568163,0.3570477458626593,0.4997146661594065,0.5841984254162893
