,title,author,VR,VFA,RPA,RCA,OA
0,Beethoven-S3-I-ex6,Salamon,0.5942773294203962,0.5789473684210527,0.33859134262655904,0.6030814380044021,0.15913829047949965
1,Ravel-Bolero-ex1,Salamon,0.5259707513867877,0.3076923076923077,0.20625315179021683,0.7912254160363086,0.18336673346693386
2,Musorgski-Ravel-PicturesExhibition-ex6,Salamon,0.6333021515434986,0.3983050847457627,0.0,0.7282507015902713,0.031471631205673756
3,Smetana-MaVlast-Vltava-ex1,Salamon,0.4963768115942029,0.08,0.10869565217391304,0.5241545893719807,0.1324736225087925
4,Holst-ThePlanets-Jupiter-ex2,Salamon,0.6014059753954306,0.4482758620689655,0.39964850615114234,0.6850615114235501,0.268561872909699
5,Beethoven-S3-I-ex3,Salamon,0.713907284768212,0.2251655629139073,0.08079470198675497,0.43178807947019865,0.19663779928680591
6,Rimski-Korsakov-Scheherazade-YoungPrincePrincess-ex2,Salamon,0.5032169117647058,0.5526315789473685,0.59375,0.6029411764705882,0.3152664859981933
7,Beethoven-S3-I-ex1,Salamon,0.5039439088518843,0.3490566037735849,0.11919368974583698,0.6476774758983348,0.05533279871692061
8,Ravel-Bolero-ex2,Salamon,0.5246241575946086,0.21428571428571427,0.23691031622602385,0.6485225505443235,0.17544707588206862
9,Brahms-S3-III-ex1,Salamon,0.48726708074534164,0.27906976744186046,0.1686335403726708,0.4767080745341615,0.09469813055470426
10,Profofiev-Romeo&Juliet-DanceKnights-ex2,Salamon,0.7491686460807601,0.5436241610738255,0.47648456057007127,0.7021377672209026,0.43653766125676235
11,Beethoven-S5-II-ex1,Salamon,0.6013095671153147,0.0660377358490566,0.12004365223717715,0.7118952346307749,0.138353765323993
12,Ravel-Bolero-ex3,Salamon,0.6471259992386753,0.27358490566037735,0.2592310620479635,0.6326608298439285,0.20197585071350166
13,Rimski-Korsakov-Scheherazade-YoungPrincePrincess-ex4,Salamon,0.5204799338022342,0.782608695652174,0.059991725279271824,0.3591228796028134,0.06614481409001957
14,Haydn-S94-Menuet-ex1,Salamon,0.5100379815518177,0.1383399209486166,0.23874118285404233,0.5529028757460662,0.19513358778625955
15,Musorgski-Ravel-PicturesExhibition-ex10,Salamon,0.6623516720604099,0.6872427983539094,0.13592233009708737,0.5145631067961165,0.1675213675213675
16,Strauss-BlueDanube-ex1,Salamon,0.48144914884329987,0.431496062992126,0.4068092536010476,0.7586206896551724,0.2993848257006152
17,Wagner-Tannhauser-Act2-ex2,Salamon,0.6796747967479675,0.5,0.7794037940379404,0.8547425474254743,0.6097035040431267
18,Rimski-Korsakov-Scheherazade-YoungPrincePrincess-ex1,Salamon,0.6621863799283154,0.2682926829268293,0.6953405017921147,0.7598566308243727,0.5015398152221734
19,Beethoven-S5-I-ex1,Salamon,0.48596321393998065,0.1092436974789916,0.2855759922555663,0.6960309777347532,0.3333333333333333
20,Grieg-PeerGynt-MorningMood-ex1,Salamon,0.6909819639278557,0.3680555555555556,0.0,0.46653306613226453,0.034482758620689655
21,Dvorak-S9-IV-ex3,Salamon,0.526431718061674,0.4473684210526316,0.06938325991189427,0.3777533039647577,0.05813953488372093
22,Dvorak-S9-IV-ex4,Salamon,0.7234580384226491,0.785,0.054600606673407485,0.3736097067745197,0.0815811606391926
23,Smetana-MaVlast-Vltava-ex4,Salamon,0.4550224887556222,0.10256410256410256,0.09032983508245877,0.45952023988005997,0.1004802364240857
24,Haydn-S94-Menuet-ex2,Salamon,0.5621562156215621,0.48663101604278075,0.34983498349834985,0.46644664466446645,0.31488698363211226
25,Beethoven-S7-II-ex2,Salamon,0.789707515734913,0.25,0.021843761569788966,0.8211773417252869,0.04481893151667264
26,Dvorak-S9-IV-ex1,Salamon,0.5955654101995566,0.4595238095238095,0.5960088691796009,0.7729490022172949,0.44822429906542055
27,Schubert-S8-II-ex2,Salamon,0.6057724957555178,0.08823529411764706,0.7402376910016978,0.8533106960950764,0.5565626049009735
28,Holst-ThePlanets-Jupiter-ex4,Salamon,0.6229508196721312,0.3125,0.0,0.7889344262295082,0.003736413043478261
29,Musorgski-Ravel-PicturesExhibition-ex5,Salamon,0.6287465940054496,0.3492063492063492,0.5667574931880109,0.6021798365122616,0.4617314930991217
30,Musorgski-Ravel-PicturesExhibition-ex4,Salamon,0.6836448598130841,0.4857142857142857,0.5205607476635514,0.6457943925233645,0.40452488687782806
31,Rimski-Korsakov-Scheherazade-Kalender-ex2,Salamon,0.6114649681528662,0.4437869822485207,0.2632696390658174,0.3510261854210899,0.2054361567635904
32,Tchaikovsky-SwanLake-Scene-ex2,Salamon,0.7295839753466872,0.7083333333333334,0.008859784283513097,0.4530046224961479,0.011450381679389313
33,Haydn-S94-Andante-ex2,Salamon,0.5678233438485805,0.2555831265508685,0.39747634069400634,0.8170347003154574,0.47858197932053176
34,Musorgski-Ravel-PicturesExhibition-Promenade1-ex1,Salamon,0.40798376184032475,0.1111111111111111,0.05277401894451962,0.5121786197564276,0.059800664451827246
35,Rimski-Korsakov-Scheherazade-Kalender-ex1,Salamon,0.4547604967474867,0.10714285714285714,0.08279124778237729,0.16262566528681255,0.03315881326352531
36,Holst-ThePlanets-Jupiter-ex1,Salamon,0.5857298871496177,0.576271186440678,0.40662540953767745,0.7360757189661449,0.3547242824895195
37,Rimski-Korsakov-Scheherazade-Sea-SinbadShip-ex2,Salamon,0.56483191725157,0.6626506024096386,0.10897672700406354,0.47580347247875876,0.07727114514444831
38,Musorgski-Ravel-PicturesExhibition-ex7,Salamon,0.7510416666666667,0.9523809523809523,0.678125,0.8989583333333333,0.47196738022426094
