epoch,loss,PA,VA,OA,mode
1,13.39696,0.8400,0.9201,0.8671,training
1,22.66786,0.6454,0.7590,0.7166,validation
2,12.27911,0.8909,0.9328,0.9002,training
2,22.14878,0.6662,0.7635,0.7174,validation
3,12.09767,0.8982,0.9373,0.9069,training
3,21.73403,0.6636,0.7645,0.7192,validation
4,11.97031,0.9037,0.9410,0.9121,training
4,22.45026,0.6443,0.7580,0.7182,validation
5,11.87294,0.9078,0.9441,0.9164,training
5,23.23374,0.6397,0.7574,0.7187,validation
